sector_code,rodriges_2018_sector_full_name, cov median ,comment,"""Source: Rodrigues, J. F. D., Moran, D., Wood, R., & Behrens, P. (2018). Uncertainty of Consumption-Based Carbon Accounts. Environmental Science & Technology, 52(13), 7577�7586. https://doi.org/10.1021/acs.est.8b00632"""
Electricity,"Electricity, gas and water",0.554,,
Transport,Transport,0.598,,
Oil,"Petroleum, chemicals and non-metallic mineral products",0.191,,
Fuel and trade,"Sale, maintenance and repair of vehicles; fuel; trade; hotels and restaurants",1.858,"""Not applicable in pyaesa as CoV>1 (because pyaesa applies +/- CoV)""",
Metal,Metal and metal products,0.418,,
Mining,Mining and quarrying,0.459,,
Agriculture,"Agriculture, hunting, forestry and fishing",0.407,,
Electric equipment,Electrical and machinery,0.762,,
Other services,Public administration; education; health; recreation; other services,0.434,,
Finance,Financial intermediation and business activity,0.49,,
Food products,"Food production, beverages and tobacco",0.383,,
Construction,Construction,0.818,,
Paper,"Wood, paper and publishing",0.227,,
Textiles,"Textiles, leather and wearing apparel",0.499,,
Transport equipment,Transport equipment,0.883,,
Manufacturing,Manufacturing and recycling,0.607,,
Communications,Post and telecommunications,0.797,,
F_Y,Households,0.309,,
