"impact_full_name","impact_parent","impact","impact_unit","stressor","extension","stressor_unit","factor","comment"
"Climate change","GWP_100","GWP_100","kg CO2-eq","CH4 - combustion - air","air emissions","kg","27","IPCC AR6 and EF 3.1 aligned; factor 27 is used for combustion CH4 following the IPCC AR6 WGIII Annex II treatment of biogenic methane and fossil methane from combustion (" GWP100 value of 27 for biogenic methane and fossil methane (combustion)")."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CO2 - combustion - air","air emissions","kg","1","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CO2_bio - combustion - air","air emissions","kg","0","EF 3.1 biogenic carbon convention: "biogenic carbon uptakes and emissions are considered neutral"."
"Climate change","GWP_100","GWP_100","kg CO2-eq","N2O - combustion - air","air emissions","kg","273","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CH4 - non combustion - Extraction/production of (natural) gas - air","air emissions","kg","29.8","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CH4 - non combustion - Extraction/production of crude oil - air","air emissions","kg","29.8","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CH4 - non combustion - Mining of antracite - air","air emissions","kg","29.8","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CH4 - non combustion - Mining of bituminous coal - air","air emissions","kg","29.8","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CH4 - non combustion - Mining of coking coal - air","air emissions","kg","29.8","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CH4 - non combustion - Mining of lignite (brown coal) - air","air emissions","kg","29.8","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CH4 - non combustion - Mining of sub-bituminous coal - air","air emissions","kg","29.8","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CH4 - non combustion - Oil refinery - air","air emissions","kg","29.8","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CO2 - non combustion - Cement production - air","air emissions","kg","1","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CO2 - non combustion - Lime production - air","air emissions","kg","1","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","SF6 - air","air emissions","kg","24300","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","HFC - air","air emissions","kg CO2-eq","1","EXIOBASE reports aggregated HFC emissions in kg CO2-eq."
"Climate change","GWP_100","GWP_100","kg CO2-eq","PFC - air","air emissions","kg CO2-eq","1","EXIOBASE reports aggregated PFC emissions in kg CO2-eq."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CH4 - agriculture - air","air emissions","kg","27","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CO2 - agriculture - peat decay - air","air emissions","kg","1","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","N2O - agriculture - air","air emissions","kg","273","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CH4 - waste - air","air emissions","kg","27","IPCC AR6 and EF 3.1 aligned."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CO2 - waste - biogenic - air","air emissions","kg","0","EF 3.1 biogenic carbon convention: "biogenic carbon uptakes and emissions are considered neutral"."
"Climate change","GWP_100","GWP_100","kg CO2-eq","CO2 - waste - fossil - air","air emissions","kg","1","IPCC AR6 and EF 3.1 aligned."
