"Planetary boundary","Control variable","impact_parent","impact","impact_duration_years","responsibility_period_years","source","comment"
"Climate change","Energy imbalance at top-of-atmosphere","EI","EI","1,000,000 or 300","300","Ryberg at al., 2018 and Shine et al. 2005","The CO2 cf includes a factor which averages a pulse CO2 emission over 300 years to give the average change in atmospheric CO2 concentration from a change in pulse emission. For all GHGs except CO2, the change in radiative forcing per change in annual emissions is calculated using the absolute global temperature change potential (AGTP) for a continuous emission (Shine et al. 2005), where time t is set to one million years to represent steady state conditions."
"Climate change","Atmospheric CO2 concentration","aCO2","aCO2","300","300","Ryberg at al., 2018","The CO2 cf includes a factor which averages a pulse CO2 emission over 300 years to give the average change in atmospheric CO2 concentration from a change in pulse emission. For CO, CH4 and NMVOC the same lifetime as the one used for CO2 should be used as this impact category only focuses on the atmospheric CO2 concentration (the cfs measure CO, CH4, NMVOC converted to CO2 once in the troposphere)"
"Stratospheric ozone depletion","Stratospheric ozone depletion","SOD","SOD","45","45","EPA and WMO, 2011 and Yang & Paulillo ( 2025, 2026)"," Yang & Paulillo ( 2025, 2026) uses  cfC-11 as correlation, 0.018 cfC-11/kg N2O. cfC-11 lifetime is used"
"Ocean acidification","Ocean acidification","OA","OA","300","300","Ryberg at al., 2018","The CO2 cf includes a factor which averages a pulse CO2 emission over 300 years to give the average change in CO2 concentration from a change in pulse emission. For CO, CH4 and NMVOC the same lifetime as the one used for CO2 should be used as this impact category only focuses on CO2 concentration (the cfs measure CO, CH4, NMVOC converted to CO2 once in the troposphere)"
"Biogeochemical flows","N cycle: Global: Industrial and intentional biological fixation of N","N","N","N/A","1","Richardson et al., 2023","The PB framework defines biogeochemical flow boundaries for N and P as annual flow thresholds, not cumulative loads. Therefore no historical responsibility is taken into account althought past inputs do influence the current environment. It is however dependent on each water basin (e.g., N in water legacy:  >35 years in the Yangtze and Pearl , 15 years in the Mississippi or 9 years in the Rhine - Liu et al., 2024)"
"Biogeochemical flows","Global: P flow from freshwater systems into the ocean","P GLO","P GLO","N/A","1","Richardson et al., 2023","The PB framework defines biogeochemical flow boundaries for N and P as annual flow thresholds, not cumulative loads. Therefore no historical responsibility can be taken into account."
"Land-system change","Global: area of forested land","LSC","LSC","infinite","1,000,000","Ryberg et al., 2018, Steffen et al., 2015 and Stadler et al., 2018","The cf expresses any area of forest loss as a percentage of the potential area of forested land in the Holocene."
"Freshwater use","Global: maximum amount of consumptive blue water","FWC","FWC","N/A","1","Steffen et al., 2015","The PB framework defines global PB for freshwater use (blue water consumption) as an annual flow threshold, not cumulative loads. Therefore no historical responsibility is taken into account."
"Atmospheric aerosol loading","AOD (Global cfs shown)","AAL","AAL","A few days to weeks","1","Myhre et al. 2013",""
"Biosphere integrity","Functional diversity (Biodiversity Intactness Index - BII)","BI FD","BI FD GHG",">100","300","Gal?n-Mart?n et al., 2021, V?zquez et al., 2023 and Yang & Paulillo (2025, 2026)","%BII loss cf calculated based on CO2eq GWP100. It measures impact on biosphere integrity of climate change."
"Biosphere integrity","Functional diversity (Biodiversity Intactness Index - BII)","BI FD","BI FD LAND","N/A","1","Gal?n-Mart?n et al., 2021; V?zquez et al., 2023 and Stadler et al., 2018","Exiobase stressor measure annual land occupation rather than newly transformed area, meaning the same area appears each year if it remains in use, so summing across years would  count multiple times the same area."
