original_classification,grouped_mrio
AGO,AGO
ARE,ARE
ARG,ARG
AUS,AUS
AUT,EU27
BEL,EU27
BGD,BGD
BGR,EU27
BLR,BLR
BRA,BRA
BRN,BRN
CAN,CAN
CHE,CHE
CHL,CHL
CHN,CHN
CIV,CIV
CMR,CMR
COD,COD
COL,COL
CRI,CRI
CYP,EU27
CZE,EU27
DEU,EU27
DNK,EU27
EGY,EGY
ESP,EU27
EST,EU27
FIN,EU27
FRA,EU27
GBR,GBR
GRC,EU27
HKG,HKG
HRV,EU27
HUN,EU27
IDN,IDN
IND,IND
IRL,EU27
ISL,ISL
ISR,ISR
ITA,EU27
JOR,JOR
JPN,JPN
KAZ,KAZ
KHM,KHM
KOR,KOR
LAO,LAO
LTU,EU27
LUX,EU27
LVA,EU27
MAR,MAR
MEX,MEX
MLT,EU27
MMR,MMR
MYS,MYS
NGA,NGA
NLD,EU27
NOR,NOR
NZL,NZL
PAK,PAK
PER,PER
PHL,PHL
POL,EU27
PRT,EU27
ROU,EU27
RUS,RUS
SAU,SAU
SEN,SEN
SGP,SGP
STP,STP
SVK,EU27
SVN,EU27
SWE,EU27
THA,THA
TUN,TUN
TUR,TUR
TWN,TWN
UKR,UKR
USA,USA
VNM,VNM
ZAF,ZAF
ROW,ROW
